"Ph1code","TotCarb","TotCarb_variability"
"C12",110.11,"11.011|110.11|209.209"
"C31",99.62,"49.81|99.62|149.43"
"C31rv",99.62,"89.658|99.62|109.582"
"C32",99.62,"9.962|99.62|189.278"
"C3u",99.62,"9.962|99.62|189.278"
"D",110.11,"11.011|110.11|209.209"
"D/E",110.11,"55.055|110.11|165.165"
"D/E/Bu/I",110.11,"55.055|110.11|165.165"
"D/I",110.11,"11.011|110.11|209.209"
"D/I1",110.11,"99.099|110.11|121.121"
"D_B5/E3/F/H2",110.11,"99.099|110.11|121.121"
"D11",110.11,"11.011|110.11|209.209"
"D12",110.11,"55.055|110.11|165.165"
"D1u",110.11,"55.055|110.11|165.165"
"D2",110.11,"55.055|110.11|165.165"
"D3",110.11,"55.055|110.11|165.165"
"D4",110.11,"55.055|110.11|165.165"
"D5",110.11,"55.055|110.11|165.165"
"D5/Au",106.605,"10.6605|106.605|202.5495"
"D5/D6",110.11,"55.055|110.11|165.165"
"D5_Au",106.605,"95.9445|106.605|117.2655"
"D5_Bu_Au",112.4366,"56.2183|112.4366|168.6549"
"D5h",110.11,"55.055|110.11|165.165"
"D5h_A2",106.605,"53.3025|106.605|159.9075"
"D6",110.11,"11.011|110.11|209.209"
"Du",110.11,"55.055|110.11|165.165"
"E161",583.15,"58.315|583.15|1107.985"
"E162",583.15,"291.575|583.15|874.725"
"E17",583.15,"58.315|583.15|1107.985"
"E18",583.15,"524.835|583.15|641.465"
"E1u",583.15,"58.315|583.15|1107.985"
"E1u (Au)",583.15,"58.315|583.15|1107.985"
"E2/E3/F1",151.44,"15.144|151.44|287.736"
"E21",151.44,"136.296|151.44|166.584"
"E22",151.44,"15.144|151.44|287.736"
"E3/F1",151.44,"15.144|151.44|287.736"
"E31",151.44,"75.72|151.44|227.16"
"E32",151.44,"75.72|151.44|227.16"
"E33",151.44,"75.72|151.44|227.16"
"E3u",151.44,"15.144|151.44|287.736"
"E4",384.88,"38.488|384.88|731.272"
"F1",151.44,"15.144|151.44|287.736"
"Fu",151.44,"75.72|151.44|227.16"
"G",0,"0|0|0"
"G16",0,"0|0|0"
"G1u",0,"0|0|0"
"G26",0,"0|0|0"
"G2u",0,"0|0|0"
"G3",0,"0|0|0"
"GR",20,"18|20|22"
"Gt",0,"0|0|0"
"GW",20,"18|20|22"
"H1",0,"0|0|0"
"H11",11.9,"5.95|11.9|17.85"
"H12",0,"0|0|0"
"H13",0,"0|0|0"
"H1u",0,"0|0|0"
"H1ua",0,"0|0|0"
"H24",39.1,"35.19|39.1|43.01"
"H26",40.8,"4.08|40.8|77.52"
"H2u",40,"4|40|76"
"H3",124.1,"12.41|124.1|235.79"
"H3/H5",124.1,"111.69|124.1|136.51"
"H3/H5/H6",124.1,"62.05|124.1|186.15"
"H3/H6u",124.1,"62.05|124.1|186.15"
"H4",0,"0|0|0"
"H64",0.01,"0.005|0.01|0.015"
"H65",6.01,"0.601|6.01|11.419"
"H66",6.01,"0.601|6.01|11.419"
"H67",6.01,"5.409|6.01|6.611"
"H68",0.01,"0.005|0.01|0.015"
"H6u",0.01,"0.009|0.01|0.011"
"H8",0,"0|0|0"
"H81",0,"0|0|0"
"H82",0,"0|0|0"
"H84",124.1,"111.69|124.1|136.51"
"H85",110.11,"11.011|110.11|209.209"
"I/J",0,"0|0|0"
"I1",0,"0|0|0"
"I11",0,"0|0|0"
"I111",0,"0|0|0"
"I112",0,"0|0|0"
"I12",0,"0|0|0"
"I121",0,"0|0|0"
"I122",0,"0|0|0"
"I13",0,"0|0|0"
"I14b",0,"0|0|0"
"I14u",0,"0|0|0"
"I21",0,"0|0|0"
"I22",0,"0|0|0"
"I23",0,"0|0|0"
"I24",0,"0|0|0"
"I2u",0,"0|0|0"
"Ib",0,"0|0|0"
"J11",76.96,"38.48|76.96|115.44"
"J11/Bu",76.96,"69.264|76.96|84.656"
"J11a",76.96,"38.48|76.96|115.44"
"J11t",76.96,"69.264|76.96|84.656"
"J12",99.62,"89.658|99.62|109.582"
"J12Urb",99.62,"89.658|99.62|109.582"
"J12v",99.62,"9.962|99.62|189.278"
"J13",76.96,"7.696|76.96|146.224"
"J13Urb",76.96,"38.48|76.96|115.44"
"J14",103.1,"92.79|103.1|113.41"
"J1M",124.1,"62.05|124.1|186.15"
"J1P",124.1,"12.41|124.1|235.79"
"J1u",76.96,"38.48|76.96|115.44"
"J1uUrb",76.96,"7.696|76.96|146.224"
"J21",132,"66|132|198"
"J22",92,"9.2|92|174.8"
"J23",145,"130.5|145|159.5"
"J24",0,"0|0|0"
"J25",0,"0|0|0"
"J26",0,"0|0|0"
"J28",0,"0|0|0"
"J34",0,"0|0|0"
"J35",0,"0|0|0"
"J36",0,"0|0|0"
"J360",0,"0|0|0"
"J361",0,"0|0|0"
"J362",0,"0|0|0"
"J363",0,"0|0|0"
"J364",0,"0|0|0"
"J36u",0,"0|0|0"
"J36x",0,"0|0|0"
"J37",0,"0|0|0"
"J37/J12/J55",0,"0|0|0"
"J3u",0,"0|0|0"
"J3x1",0,"0|0|0"
"J4",0,"0|0|0"
"J4u",0,"0|0|0"
"J5",0,"0|0|0"
"J511",0,"0|0|0"
"J512",0,"0|0|0"
"J52",0,"0|0|0"
"J53",0,"0|0|0"
"J54",0,"0|0|0"
"J55",99.62,"89.658|99.62|109.582"
"J55Urb",99.62,"49.81|99.62|149.43"
"J56",99.62,"49.81|99.62|149.43"
"J56Urb",99.62,"89.658|99.62|109.582"
"K",0,"0|0|0"
"Linear",124.1,"111.69|124.1|136.51"
"Montane",0,"0|0|0"
"Unclassified",0,"0|0|0"
"Unclassified, area in development",0,"0|0|0"
"Unclassified, not greenspace",0,"0|0|0"
